parent_asin,sentence_id,sentence_text,rating,triplets,category_name,triplets_parsed,gold_aspects,has_aspect
B01MA4YVNP,1,i took it to three different wall outlets and it sparked at all three when plugging it in,1.0,"[[""device"", ""sparked when plugging it in"", 0]]",electronics_p2,"[['device', 'sparked when plugging it in', 0]]",['device'],True
B0015BQ79Q,3,i put in dark knight on blu ray and any of my worries about this tv melted away the picture is absolutely amazing colors are bright blacks are true,5.0,"[[""picture"", ""absolutely amazing"", 2], [""colors"", ""bright"", 2], [""blacks"", ""true"", 2]]",electronics_p2,"[['picture', 'absolutely amazing', 2], ['colors', 'bright', 2], ['blacks', 'true', 2]]","['picture', 'colors', 'blacks']",True
B082VSBN2R,4,the sound is amazing and connected to my phone very smooth,1.0,"[[""sound"", ""amazing"", 2], [""connection to my phone"", ""very smooth"", 2]]",electronics_p2,"[['sound', 'amazing', 2], ['connection to my phone', 'very smooth', 2]]","['sound', 'connection to my phone']",True
B00VANT7IW,6,if the author would have made her a little older it would make it more believable,5.0,"[[""character"", ""not believable"", 0]]",kindle_store,"[['character', 'not believable', 0]]",['character'],True
B0BYRDPWT1,1,the chalk pen works well and washes off easily with a damp rag,5.0,"[['chalk pen', 'works well', '2'], ['chalk pen', 'washes off easily', '2']]",office_products,"[['chalk pen', 'works well', '2'], ['chalk pen', 'washes off easily', '2']]",['chalk pen'],True
B000FC2L28,2,gabaldon's command of our language is commendable paints vivid scenes and true emotions,5.0,"[[""gabaldon's command"", ""commendable"", 2], [""scenes"", ""vivid"", 2], [""emotions"", ""true"", 2]]",kindle_store,"[[""gabaldon's command"", 'commendable', 2], ['scenes', 'vivid', 2], ['emotions', 'true', 2]]","[""gabaldon's command"", 'scenes', 'emotions']",True
B07XF2P9KR,25770162222,got tired of ridiculous cable bills and cut the cord,5.0,[],software,[],[],False
B07FG7SBS9,1,five [GENERIC_NOUN] great price fans are quit no noise from them,5.0,"[[""fans"", ""no noise"", 2]]",electronics_p1,"[['fans', 'no noise', 2]]",['fans'],True
B07XD4797M,622177,relaxing game to play,5.0,[],software,[],[],False
B07BLNP4SB,1,stands are a combination of lite gauge steel and injection molded plastic,5.0,[],electronics_p1,[],[],False
B0B1PYNH8X,1,for echo show 5 i have the 2nd generation echo show 5,5.0,[],electronics_p2,[],[],False
B073BLF22X,3,replaced it with all the other blue ink cartriges and some worked others only provided a couple of pages,1.0,"[['blue ink cartridges', 'worked', '2'], ['blue ink cartridges', 'provided a couple of pages', '0']]",office_products,"[['blue ink cartridges', 'worked', '2'], ['blue ink cartridges', 'provided a couple of pages', '0']]",['blue ink cartridges'],True
B01LDA9KJC,2,even better that my kindle copy was free,5.0,"[[""kindle copy"", ""even better"", 2]]",kindle_store,"[['kindle copy', 'even better', 2]]",['kindle copy'],True
B09ZLQ7KDV,1,did not even rate but was made to the submit the [GENERIC_NOUN] very disappointed did not receive the [GENERIC_NOUN] that was advertised in the picture,1.0,"[['picture', 'did not receive', '0'], ['picture', 'disappointed', '0']]",office_products,"[['picture', 'did not receive', '0'], ['picture', 'disappointed', '0']]",['picture'],True
B008982LD4,3,the wireless signal did not reach as far as the uverse signal,1.0,"[[""wireless signal"", ""did not reach as far"", 0]]",electronics_p1,"[['wireless signal', 'did not reach as far', 0]]",['wireless signal'],True
B093F7SP44,1,loved the characters and the plot,5.0,"[[""characters"", ""loved"", 2], [""plot"", ""loved"", 2]]",kindle_store,"[['characters', 'loved', 2], ['plot', 'loved', 2]]","['characters', 'plot']",True
B00IWNUD4U,5,when the battery is low,3.0,[],electronics_p1,[],[],False
B016JPTMIK,3,i have always enjoyed nora's trilogy sets and this [GENERIC_NOUN] is right in line,5.0,"[[""nora's trilogy sets"", ""enjoyed"", 2]]",kindle_store,"[[""nora's trilogy sets"", 'enjoyed', 2]]","[""nora's trilogy sets""]",True
B088TJNL5K,3,the [GENERIC_NOUN] is made of soft ptu so its easy to handle and put ipad in and out when i need,5.0,[],electronics_p2,[],[],False
B004I45BLW,25770028161,the best feature of this program is the ability to import recipes from a wide variety of websites including the mega sites like epicurious and allrecipes and blogs,5.0,"[['feature', 'ability to import recipes from a wide variety of websites', 2]]",software,"[['feature', 'ability to import recipes from a wide variety of websites', 2]]",['feature'],True
B00NOZMNSU,4,each [GENERIC_NOUN] of her books offer an exciting funny steamy story that never gets boring is never the 34 same old same old 34 this was beautifully written the story characters flow with a natural grace that is geri foster's trademark,5.0,"[[""books"", ""exciting"", 2], [""books"", ""funny"", 2], [""books"", ""steamy"", 2], [""books"", ""never gets boring"", 2], [""books"", ""never the same old same old"", 2], [""story"", ""beautifully written"", 2], [""story"", ""flow with a natural grace"", 2], [""characters"", ""flow with a natural grace"", 2]]",kindle_store,"[['books', 'exciting', 2], ['books', 'funny', 2], ['books', 'steamy', 2], ['books', 'never gets boring', 2], ['books', 'never the same old same old', 2], ['story', 'beautifully written', 2], ['story', 'flow with a natural grace', 2], ['characters', 'flow with a natural grace', 2]]","['books', 'story', 'characters']",True
