parent_asin,sentence_id,sentence_text,rating,aspects,sentiments,category_name
B01MA4YVNP,1,i took it to three different wall outlets and it sparked at all three when plugging it in,1.0,"[""device""]",[0],electronics_p2
B0015BQ79Q,3,i put in dark knight on blu ray and any of my worries about this tv melted away the picture is absolutely amazing colors are bright blacks are true,5.0,"[""picture"", ""colors"", ""blacks""]","[2, 2, 2]",electronics_p2
B082VSBN2R,4,the sound is amazing and connected to my phone very smooth,1.0,"[""sound"", ""connection to my phone""]","[2, 2]",electronics_p2
B00VANT7IW,6,if the author would have made her a little older it would make it more believable,5.0,"[""character""]",[0],kindle_store
B0BYRDPWT1,1,the chalk pen works well and washes off easily with a damp rag,5.0,"[""chalk pen"", ""chalk pen""]","[""2"", ""2""]",office_products
B000FC2L28,2,gabaldon's command of our language is commendable paints vivid scenes and true emotions,5.0,"[""gabaldon's command"", ""scenes"", ""emotions""]","[2, 2, 2]",kindle_store
B07XF2P9KR,25770162222,got tired of ridiculous cable bills and cut the cord,5.0,[],[],software
B07FG7SBS9,1,five [GENERIC_NOUN] great price fans are quit no noise from them,5.0,"[""fans""]",[2],electronics_p1
B07XD4797M,622177,relaxing game to play,5.0,[],[],software
B07BLNP4SB,1,stands are a combination of lite gauge steel and injection molded plastic,5.0,[],[],electronics_p1
B0B1PYNH8X,1,for echo show 5 i have the 2nd generation echo show 5,5.0,[],[],electronics_p2
B073BLF22X,3,replaced it with all the other blue ink cartriges and some worked others only provided a couple of pages,1.0,"[""blue ink cartridges"", ""blue ink cartridges""]","[""2"", ""0""]",office_products
B01LDA9KJC,2,even better that my kindle copy was free,5.0,"[""kindle copy""]",[2],kindle_store
B09ZLQ7KDV,1,did not even rate but was made to the submit the [GENERIC_NOUN] very disappointed did not receive the [GENERIC_NOUN] that was advertised in the picture,1.0,"[""picture"", ""picture""]","[""0"", ""0""]",office_products
B008982LD4,3,the wireless signal did not reach as far as the uverse signal,1.0,"[""wireless signal""]",[0],electronics_p1
B093F7SP44,1,loved the characters and the plot,5.0,"[""characters"", ""plot""]","[2, 2]",kindle_store
B00IWNUD4U,5,when the battery is low,3.0,[],[],electronics_p1
B016JPTMIK,3,i have always enjoyed nora's trilogy sets and this [GENERIC_NOUN] is right in line,5.0,"[""nora's trilogy sets""]",[2],kindle_store
B088TJNL5K,3,the [GENERIC_NOUN] is made of soft ptu so its easy to handle and put ipad in and out when i need,5.0,[],[],electronics_p2
B004I45BLW,25770028161,the best feature of this program is the ability to import recipes from a wide variety of websites including the mega sites like epicurious and allrecipes and blogs,5.0,"[""feature""]",[2],software
B00NOZMNSU,4,each [GENERIC_NOUN] of her books offer an exciting funny steamy story that never gets boring is never the 34 same old same old 34 this was beautifully written the story characters flow with a natural grace that is geri foster's trademark,5.0,"[""books"", ""books"", ""books"", ""books"", ""books"", ""story"", ""story"", ""characters""]","[2, 2, 2, 2, 2, 2, 2, 2]",kindle_store
B00XHWBDYU,27,br br the dock portion itself includes 4 trays that you can interchange to get an exact fit for the model of ipod you own,4.0,[],[],electronics_p1
B09Y2JFK4Q,1,colorful love these labels,5.0,"[""labels""]","[""2""]",office_products
B078VP8D9C,3,she does so while showing the love heart endurance friendships and bravery of the characters while sticking to the facts and making history interesting for all to read,4.0,"[""characters"", ""history""]","[2, 2]",kindle_store
B008HVN9GG,11,two other pockets in the center accept business cards,5.0,[],[],office_products
B07BLKHQK6,1,solid feel and works with light touch,5.0,"[""feel"", ""touch""]","[2, 2]",electronics_p2
B0BN5NJNQQ,1,love color fits perfectly,4.0,"[""color""]",[2],electronics_p1
B0B69GHNHJ,1,crane is the stationery,5.0,[],[],office_products
B008C2MO0C,9,for instance you can t click on start to get to normal regular [GENERIC_NOUN] right at my finger tips as i can do on the windows 7,1.0,[],[],electronics_p1
B005S4YK22,103079365152,id recommend buy it again,5.0,[],[],software
B08GX13XW2,1,sturdy has many holders enjoy using it for my purse to have all my credit cards handy and business cards available when i need them,4.0,"[""holders"", ""purse"", ""purse""]","[""2"", ""2"", ""2""]",office_products
B0BCJKKZD4,7,great [GENERIC_NOUN],5.0,[],[],electronics_p2
B01L1AG1WS,1,but it will be nicer if each single layer can be wider to hold more,5.0,"[""layer"", ""layer"", ""layer""]","[""2"", ""2"", ""2""]",office_products
B00VXK8HMO,1,the inserts do not stay in place at all i,2.0,"[""inserts""]",[0],electronics_p2
B00B8IGZYS,94489362846,best spades game i have tried a number of spades apps and most of them are stupid,5.0,"[""spades game"", ""spades apps""]","[2, 0]",software
B00E257ZXY,1,fairly thorough description of the [GENERIC_NOUN] the sub genre has evolved over [GENERIC_NOUN],4.0,[],[],kindle_store
B08D356XB6,16,quality is lacking i love kensington trackballs and had high hopes for the fusion orbit,2.0,"[""quality""]",[0],electronics_p2
B08NC1LM49,3,if the perforated pages dont bother you then this will be worth every penny,3.0,"[""perforated pages""]","[""2""]",office_products
B009RPTFIC,1,maggie thom's captured lies is a suspenseful thrill of a ride and should be on your summer read list,4.0,"[""maggie thom's captured lies""]",[2],kindle_store
B00B0VYCL6,103079310002,im sure mommy and daddy were trying to teach her some responsibility by buying her her own restaurant but apparently this little test has failed miserably,2.0,"[""restaurant""]",[0],software
B07TFCW9PL,1,great for grandparents and family no assembly required,5.0,"[""grandparents"", ""family"", ""assembly""]","[""2"", ""2"", ""2""]",office_products
B004BDOJEK,12,the contrast of ordinary woman extraordinary circumstances has more meaning in the lily bard' series than any other of charlaine's works,5.0,[],[],kindle_store
B0C5MF2LCQ,2,they do the trick to charge your phone ipad but don t expect a fast or lightning charge,4.0,"[""charge""]",[1],electronics_p1
B07GVBGNB8,7,it is essentially a warm [GENERIC_NOUN] of pie and a cup of hot tea rolled up into a comforting story,4.0,[],[],kindle_store
B01CBV2K8U,831236,my main complaint is the fish tanks are too difficult to complete and rewards could be better,4.0,"[""fish tanks"", ""rewards""]","[0, 1]",software
B00JHOVWO8,1,four [GENERIC_NOUN] not easy to place phone in dock otherwise its a very decent [GENERIC_NOUN],4.0,"[""dock""]",[0],electronics_p2
B09ZLMFPPM,2,br br other features i likebr the rubberized housing on the plugs seems more durable than some of the hollowplastic ends i ve seen on other adaptersbr having a length of cord between the two ends places less strain on my laptops usb ports than an adapter with a formfactor more akin to an older thumbdrivebr since i merely need a serial port to plugin the nullmodem or serial cables that ship with various [GENERIC_NOUN] of hardware i appreciate that this has only a short cord rather than others that are needlessly long,5.0,"[""housing on the plugs"", ""length of cord"", ""short cord""]","[2, 2, 2]",electronics_p2
B0B4WNJT4G,3,the ink looks very nice on paper dries quickly but doesnt dry in your pens reservoir,5.0,"[""ink"", ""ink"", ""ink""]","[""2"", ""2"", ""0""]",office_products
B087D9VRGC,2,decent speaker i needed a new speaker because my jbl flip 4 would not hold a charge,4.0,"[""speaker""]",[1],electronics_p1
B00DUGK6LY,2,share the joy these cards are very pretty,5.0,"[""cards""]","[""2""]",office_products
B017QS4E8M,2,bad instructions needs to have better instructions,3.0,"[""instructions"", ""instructions""]","[""0"", ""2""]",office_products
B00OLCWPH4,3,photo resolution is excellent,4.0,"[""photo resolution""]",[2],electronics_p1
B008K6HN8I,25769879074,help assistant couldnt help me with this app,1.0,"[""assistant"", ""app""]","[0, 0]",software
B08NJBR65J,1,binding is solid too it has been living in my backpack and has held up fine,5.0,"[""binding"", ""binding""]","[""2"", ""2""]",office_products
B094VGTBM4,1,i have lowpile berber carpet and this mat allows my desk chair to roll freely,5.0,"[""mat""]","[""2""]",office_products
B00MV9EL6M,51539691637,loved this price,5.0,"[""price""]",[2],software
B0BZLBL1L9,1,a good 5port switch,5.0,"[""5port switch""]",[2],electronics_p2
B007JGBSCC,9,the surface feels more like glass and it s definitely a great improvement over the original shield,1.0,[],[],electronics_p1
B017250D16,371843,gracias good,5.0,[],[],software
B07WHNJ9H8,4,br there is [GENERIC_NOUN] i found odd that certain angles on the pen will make this sound and feel as if its scratching up the screen like tiny grains of sand,3.0,[],[],electronics_p1
B07FL4T5VJ,2,i got this [GENERIC_NOUN] to make sure my id badge would not accidentally get lost but,5.0,[],[],office_products
B0B8RSKT46,4,the colors already matched the colors on my other monitors,4.0,"[""colors""]",[2],electronics_p1
B000XBI3JQ,2,just ok display is easy to see functionality is good,3.0,"[""display"", ""functionality""]","[""2"", ""2""]",office_products
B00UTPQB8G,1,can not wait to read more from this talented author,5.0,"[""author""]",[2],kindle_store
B00006JQ06,7,the best pocket radio i have ever had so much has been written about this so i will be brief,5.0,"[""pocket radio""]",[2],electronics_p1
B00G8EK9T4,1,can not wait to read more in the series,5.0,[],[],kindle_store
B075X8471B,1,four [GENERIC_NOUN] really enjoy our fire stick,4.0,"[""fire stick""]",[2],electronics_p1
B071DSP6D6,2,i admire rose for telling her story and for being on the forefront of the me too movement,5.0,"[""rose""]",[2],kindle_store
B08GPJYPXD,3,the pace 2 also seems reasonably accurate with nice functionality and it synchs very easily with my iphone and strava,3.0,"[""accuracy"", ""functionality"", ""syncing with my iphone and strava""]","[2, 2, 2]",electronics_p2
B084M1Q36J,21,but with the help of family and friends its not too much to take on solving a murder right,5.0,[],[],kindle_store
B07P24XDPW,1,great lightweight laptop bed tray less than 4 lbs,5.0,[],[],office_products
B0196KA3T2,2,plenty of room below for keyboard or a paper tray,5.0,"[""room below""]",[2],electronics_p2
B00NR1EHP8,4,br i returned it immediately and bought the arris surfboard sbg6900ac which is much better,1.0,"[""arris surfboard""]",[2],electronics_p1
B009T3EYHO,225,browser is nice and fast,5.0,"[""browser"", ""browser""]","[2, 2]",electronics_p2
B071J3PFJJ,3,other than that it functioned just like i would expect any other [GENERIC_NOUN] to function meaning it was thin turned off the ipad when closed and protected it,5.0,[],[],electronics_p1
B0010OXEDU,4,br setup with the free tzo service required 2 phone calls to their tech support,3.0,[],[],electronics_p1
B008ABLJHE,1,print quality is very nice,5.0,"[""print quality""]","[""2""]",office_products
B0CDGCH3CR,1,i needed a heavy duty pliertype hand stapler and this [GENERIC_NOUN] is just perfect,5.0,"[""hand stapler""]","[""2""]",office_products
B0063IH60K,744600,and gotta love the price,5.0,"[""price""]",[2],software
B013DG2FNW,1,my niece loves it works well,5.0,"[""niece"", ""it""]","[""2"", ""2""]",office_products
B01MCV3VA4,5,after talking to the [DOMAIN_NOISE] and the manufacturer i decided to rerun it,3.0,[],[],electronics_p2
B06ZXXX7H3,14,the black tide rebellion is a bone chilling story about surviving in a lonely world,5.0,"[""black tide rebellion""]",[2],kindle_store
B07S4GWTLR,1,clown horror done right,5.0,[],[],kindle_store
B08RLW7918,3,[DOMAIN_NOISE] has incorrect [GENERIC_NOUN] information,1.0,"[""information""]",[0],electronics_p1
B01B6ZOMIS,3,excellent [GENERIC_NOUN],5.0,[],[],electronics_p2
B0BNPZKTVJ,1,the handles work nice this is a good mediumheavy weight shrink wrap,5.0,"[""handles"", ""shrink wrap""]","[""2"", ""2""]",office_products
B00N1XIY5Q,717017,large music choice not too many ads title says it all,4.0,"[""music choice""]",[1],software
B00KWVZ750,8590050562,good game really like the rug elements of this game,5.0,"[""game"", ""rug elements""]","[2, 2]",software
B00TE2QPMM,3,saving jay was wonderful and amusing and ended the series off in the best [GENERIC_NOUN],5.0,"[""saving jay"", ""saving jay""]","[2, 2]",kindle_store
B007F7N11Q,2,i have been searching for a good speaker mic for the baofeng radio,3.0,[],[],electronics_p2
B09GG9RK5C,2,the slightest touch of the tip to paper makes the pen refill bounce off the page,1.0,[],[],office_products
B00WX8JTRC,29,br br between mediabridge and monster i think the monster would be marginally better in picture quality and better in sound quality,5.0,[],[],electronics_p2
B0BD8PMCQJ,1,fits my need i did not like the fact that some of the instructions were not clear like assembling the bottom drawer,4.0,"[""instructions"", ""bottom drawer""]","[""0"", ""0""]",office_products
B07KJGSZ6S,1,when a young independent widow and mother of two is yentaized with a grumpy handyman by four golden girls the attraction is strong and his secrets are out of this world,3.0,[],[],kindle_store
B08J91XPGV,8,br br i have a directv dvr which is connected to my tv via hdmi,5.0,[],[],electronics_p1
B00TJ4XMEO,1,the story was good but a little slow developing for me,3.0,"[""story"", ""story""]","[2, 0]",kindle_store
B0B1GVN7YQ,20,this family is so easy to love because they love and champion each other,5.0,"[""family""]",[2],kindle_store
B00DB3I4PQ,85899452727,she likes to hear all the animal sounds,5.0,[],[],software
B01LZZWJRG,2,how could i not after reading a story about vincent a sexy baker and evey who likes to eat [GENERIC_NOUN] of his muffins everyday with a cup of coffee,5.0,[],[],kindle_store
B08TTH6L4X,1,i always enjoy the first in a new sword and sorcery series and this novel make me want to read more,4.0,"[""first"", ""novel""]","[2, 2]",kindle_store
B000GD5DS0,60129792428,this fix the bil and for a good price,4.0,[],[],software
B014JP5POC,1,the first [GENERIC_NOUN] i received arrived warped and did not fit my ipod touch 7th gen despite it saying it does ok,1.0,[],[],electronics_p2
